id,変換前(商品名/誤字),変換後(成分名)
255,バルプロ酸ナトリウム１００ｍｇ徐放錠,バルプロ酸ナトリウム
256,デパケンＲ錠１００ｍｇ,バルプロ酸ナトリウム
257,バルプロ酸ナトリウムＳＲ錠１００ｍｇ「アメル」,バルプロ酸ナトリウム
258,バルプロ酸ナトリウム２００ｍｇ徐放錠,バルプロ酸ナトリウム
259,セレニカＲ錠２００ｍｇ,バルプロ酸ナトリウム
260,バルプロ酸ナトリウムＳＲ錠２００ｍｇ「アメル」,バルプロ酸ナトリウム
261,デパケンＲ錠２００ｍｇ,バルプロ酸ナトリウム
262,セレニカＲ錠４００ｍｇ,バルプロ酸ナトリウム
263,バルプロ酸ナトリウム５％シロップ,バルプロ酸ナトリウム
264,デパケンシロップ５％,バルプロ酸ナトリウム
265,バルプロ酸ナトリウムシロップ５％「日医工」,バルプロ酸ナトリウム
266,ゾニサミド２０％散,ゾニサミド
267,エクセグラン散２０％,ゾニサミド
268,ゾニサミド１００ｍｇ錠,ゾニサミド
269,エクセグラン錠１００ｍｇ,ゾニサミド
270,マイスタン細粒１％,クロバザム
271,マイスタン錠５ｍｇ,クロバザム
272,マイスタン錠１０ｍｇ,クロバザム
273,ガバペン錠２００ｍｇ,ガバペンチン
274,ガバペン錠３００ｍｇ,ガバペンチン
275,ガバペン錠４００ｍｇ,ガバペンチン
276,ガバペンシロップ５％,ガバペンチン
277,トピナ細粒１０％,トピラマート
278,トピナ錠５０ｍｇ,トピラマート
279,トピラマート錠５０ｍｇ「アメル」,トピラマート
280,トピナ錠１００ｍｇ,トピラマート
281,トピラマート錠１００ｍｇ「アメル」,トピラマート
282,トピナ錠２５ｍｇ,トピラマート
283,トピラマート錠２５ｍｇ「アメル」,トピラマート
284,ラモトリギン２ｍｇ錠,ラモトリギン
285,ラミクタール錠小児用２ｍｇ,ラモトリギン
286,ラモトリギン５ｍｇ錠,ラモトリギン
287,ラミクタール錠小児用５ｍｇ,ラモトリギン
288,ラモトリギン２５ｍｇ錠,ラモトリギン
289,ラミクタール錠２５ｍｇ,ラモトリギン
290,ラモトリギン錠２５ｍｇ「ＪＧ」,ラモトリギン
291,ラモトリギン錠２５ｍｇ「アメル」,ラモトリギン
292,ラモトリギン錠２５ｍｇ「サワイ」,ラモトリギン
293,ラモトリギン錠２５ｍｇ「トーワ」,ラモトリギン
294,ラミクタール錠１００ｍｇ,ラモトリギン
295,ラモトリギン錠１００ｍｇ「ＪＧ」,ラモトリギン
296,ラモトリギン錠１００ｍｇ「アメル」,ラモトリギン
297,ラモトリギン錠１００ｍｇ「サワイ」,ラモトリギン
298,ラモトリギン錠１００ｍｇ「トーワ」,ラモトリギン
299,ラモトリギン錠１００ｍｇ「日医工」,ラモトリギン
300,イーケプラ錠２５０ｍｇ,レベチラセタム
301,レベチラセタム錠２５０ｍｇ「ＪＧ」,レベチラセタム
302,レベチラセタム錠２５０ｍｇ「ＶＴＲＳ」,レベチラセタム
303,レベチラセタム錠２５０ｍｇ「アメル」,レベチラセタム
304,レベチラセタム錠２５０ｍｇ「杏林」,レベチラセタム
305,レベチラセタム錠２５０ｍｇ「サワイ」,レベチラセタム
306,レベチラセタム錠２５０ｍｇ「タカタ」,レベチラセタム
